Name,Latitude,Longitude
Adelanto,34.582769,-117.409214
Agoura Hills,34.153339,-118.761675
Alameda,37.765206,-122.241636
Albany,37.886869,-122.297747
Alhambra,34.095286,-118.127014
Aliso Viejo,33.575,-117.725556
Alturas,41.487114,-120.542456
Amador City,38.419356,-120.824103
American Canyon,38.174917,-122.260803
Anaheim,33.835292,-117.914503
Anderson,40.448208,-122.297783
Angels,38.067783,-120.538531
Antioch,38.004922,-121.805789
Arcadia,34.139728,-118.035344
Arcata,40.866517,-124.082839
Arroyo Grande,35.118586,-120.590725
Artesia,33.865847,-118.083122
Arvin,35.2018,-118.833106
Atascadero,35.489417,-120.670725
Atwater,37.347717,-120.609083
Auburn,38.896564,-121.076889
Avalon,33.342819,-118.328228
Avenal,36.004122,-120.129028
Azusa,34.133619,-117.907564
Bakersfield,35.373292,-119.018711
Baldwin Park,34.085286,-117.960897
Banning,33.925572,-116.876411
Barstow,34.895797,-117.017283
Beaumont,33.929461,-116.977247
Bell,33.977514,-118.187017
Bell Gardens,33.965292,-118.151458
Bellflower,33.881683,-118.117011
Belmont,37.520214,-122.275800
Belvedere,37.872703,-122.464417
Berkeley,37.871592,-122.272747
Beverly Hills,34.073619,-118.400356
Big Bear Lake,34.243897,-116.911422
Biggs,39.412389,-121.712750
Bishop,37.363539,-118.395111
Blue Lake,40.882908,-123.983950
Blythe,33.617233,-114.589175
Bradbury,34.14695,-117.970897
Brawley,32.978658,-115.530267
Brea,33.916681,-117.900061
Brentwood,34.057361,-118.480511
Brisbane,37.680767,-122.399972
Buellton,34.613597,-120.192650
Buena Park,33.867514,-117.998117
Burbank,34.180839,-118.308967
Burlingame,37.584103,-122.366083
Calabasas,34.138333,-118.660833
Calexico,32.678947,-115.498883
California City,35.1258,-117.985903
Calimesa,34.003903,-117.061975
Calipatria,33.125597,-115.514153
Calistoga,38.578797,-122.579706
Camarillo,34.216394,-119.037603
Campbell,37.287164,-121.949958
Canyon Lake,33.685022,-117.273092
Capitola,36.975228,-121.953292
Carlsbad,33.158092,-117.350594
Carmel-By-the-Sea,36.555239,-121.923289
Carpinteria,34.398883,-119.518456
Carson,33.831406,-118.282017
Cathedral City,33.779742,-116.465292
Ceres,37.594933,-120.957711
Cerritos,33.858347,-118.064786
Chico,39.728494,-121.837478
Chino,34.012236,-117.688944
Chino Hills,33.989819,-117.732586
Chowchilla,37.123,-120.260175
Chula Vista,32.640053,-117.084197
Citrus Heights,38.707125,-121.281061
Claremont,34.096675,-117.719778
Clayton,37.941033,-121.935792
Clearlake,38.958231,-122.626372
Cloverdale,38.805461,-123.017222
Clovis,36.825228,-119.702919
Coachella,33.6803,-116.173894
Coalinga,36.139678,-120.360150
Colfax,39.100731,-120.953275
Colton,34.073903,-117.313656
Colusa,39.214333,-122.009417
Commerce,34.000569,-118.159792
Compton,33.89585,-118.220072
Concord,37.977978,-122.031072
Corcoran,37.977978,-122.031072
Corning,39.927658,-122.179156
Corona,33.875294,-117.566439
Coronado,32.685886,-117.183089
Costa Mesa,33.641133,-117.918669
Cotati,38.327778,-122.709167
Covina,34.090008,-117.890339
Crescent City,41.755947,-124.201747
Cudahy,33.960569,-118.185350
